"gene"	"adj.pval.trt2"	"transcript_id"	"sprot_Top_BLASTX_hit"	"RNAMMER"	"prot_id"	"prot_coords"	"sprot_Top_BLASTP_hit"	"Pfam"	"SignalP"	"TmHMM"	"eggnog"	"Kegg"	"gene_ontology_blast"	"gene_ontology_pfam"	"transcript"	"peptide"	"scaffold"	"start"	"stop"
"Mcavernosa05114"	0.0244729258011108	"Mcavernosa05114"	"STIM1_MOUSE^STIM1_MOUSE^Q:34-270,H:84-323^43.33%ID^E:3e-60^RecName: Full=Stromal interaction molecule 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`STIM1_HUMAN^STIM1_HUMAN^Q:34-270,H:84-323^42.92%ID^E:5e-60^RecName: Full=Stromal interaction molecule 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`STIM1_RAT^STIM1_RAT^Q:34-270,H:84-323^43.33%ID^E:5e-60^RecName: Full=Stromal interaction molecule 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus"	"."	"Mcavernosa05114"	"1-877[+]"	"STIM1_MOUSE^STIM1_MOUSE^Q:34-270,H:84-323^43.33%ID^E:3e-60^RecName: Full=Stromal interaction molecule 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`STIM1_HUMAN^STIM1_HUMAN^Q:34-270,H:84-323^42.92%ID^E:5e-60^RecName: Full=Stromal interaction molecule 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`STIM1_RAT^STIM1_RAT^Q:34-270,H:84-323^43.33%ID^E:5e-60^RecName: Full=Stromal interaction molecule 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus"	"PF07647.16^SAM_2^SAM domain (Sterile alpha motif)^78-139^E:2.8e-11`PF00536.29^SAM_1^SAM domain (Sterile alpha motif)^80-141^E:2.1e-08"	"sigP:1^26^0.651^YES"	"ExpAA=20.71^PredHel=1^Topology=o161-179i"	"ENOG410XRM6^Stromal interaction molecule"	"KEGG:mmu:20866`KO:K16059"	"GO:0032541^cellular_component^cortical endoplasmic reticulum`GO:0005783^cellular_component^endoplasmic reticulum`GO:0030426^cellular_component^growth cone`GO:0030176^cellular_component^integral component of endoplasmic reticulum membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0005874^cellular_component^microtubule`GO:0005886^cellular_component^plasma membrane`GO:0032991^cellular_component^protein-containing complex`GO:0033017^cellular_component^sarcoplasmic reticulum membrane`GO:0005246^molecular_function^calcium channel regulator activity`GO:0005509^molecular_function^calcium ion binding`GO:0042802^molecular_function^identical protein binding`GO:0051010^molecular_function^microtubule plus-end binding`GO:0002020^molecular_function^protease binding`GO:0015279^molecular_function^store-operated calcium channel activity`GO:0032237^biological_process^activation of store-operated calcium channel activity`GO:0006812^biological_process^cation transport`GO:0006874^biological_process^cellular calcium ion homeostasis`GO:0005513^biological_process^detection of calcium ion`GO:0070166^biological_process^enamel mineralization`GO:0014902^biological_process^myotube differentiation`GO:0045766^biological_process^positive regulation of angiogenesis`GO:0051924^biological_process^regulation of calcium ion transport`GO:2001256^biological_process^regulation of store-operated calcium entry`GO:0002115^biological_process^store-operated calcium entry"	"GO:0005515^molecular_function^protein binding"	"."	"."	"Sc0000116"	273066	286068
"Mcavernosa14862"	0.0268371014172327	"Mcavernosa14862"	"."	"."	"Mcavernosa14862"	"1-204[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000228"	263911	271116
"Mcavernosa27176"	0.0271377610966592	"Mcavernosa27176"	"."	"."	"Mcavernosa27176"	"1-1005[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"xfSc0000151"	41303	43773
"Mcavernosa28272"	0.0282254460349377	"Mcavernosa28272"	"."	"."	"Mcavernosa28272"	"1-2085[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000184"	149415	151499
"Mcavernosa24026"	0.0296739460283971	"Mcavernosa24026"	"CHMP5_DANRE^CHMP5_DANRE^Q:1-58,H:1-58^81.03%ID^E:1e-27^RecName: Full=Charged multivesicular body protein 5;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`CHMP5_XENLA^CHMP5_XENLA^Q:1-58,H:1-58^77.59%ID^E:3e-25^RecName: Full=Charged multivesicular body protein 5;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`CHMP5_XENTR^CHMP5_XENTR^Q:1-58,H:1-58^77.59%ID^E:6e-25^RecName: Full=Charged multivesicular body protein 5;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana"	"."	"Mcavernosa24026"	"1-302[+]"	"CHMP5_DANRE^CHMP5_DANRE^Q:1-58,H:1-58^81.03%ID^E:1e-27^RecName: Full=Charged multivesicular body protein 5;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`CHMP5_XENLA^CHMP5_XENLA^Q:1-58,H:1-58^77.59%ID^E:3e-25^RecName: Full=Charged multivesicular body protein 5;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`CHMP5_XENTR^CHMP5_XENTR^Q:1-58,H:1-58^77.59%ID^E:6e-25^RecName: Full=Charged multivesicular body protein 5;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana"	"PF03357.20^Snf7^Snf7^12-53^E:2.7e-07"	"."	"."	"ENOG410XPDA^Charged multivesicular body protein"	"KEGG:dre:393351`KO:K12198"	"GO:0005829^cellular_component^cytosol`GO:0010008^cellular_component^endosome membrane`GO:0015031^biological_process^protein transport`GO:0007034^biological_process^vacuolar transport"	"GO:0007034^biological_process^vacuolar transport"	"."	"."	"Sc0000944"	1285	11619
"Mcavernosa29694"	0.0296739460283971	"Mcavernosa29694"	"TLPB_BACSU^TLPB_BACSU^Q:190-352,H:511-659^20.86%ID^E:2e-06^RecName: Full=Methyl-accepting chemotaxis protein TlpB;^Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus`TLPA_BACSU^TLPA_BACSU^Q:225-344,H:536-658^21.14%ID^E:1e-05^RecName: Full=Methyl-accepting chemotaxis protein TlpA;^Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus"	"."	"Mcavernosa29694"	"1-1197[+]"	"TLPB_BACSU^TLPB_BACSU^Q:190-352,H:511-659^20.86%ID^E:2e-06^RecName: Full=Methyl-accepting chemotaxis protein TlpB;^Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus`TLPA_BACSU^TLPA_BACSU^Q:225-344,H:536-658^21.14%ID^E:1e-05^RecName: Full=Methyl-accepting chemotaxis protein TlpA;^Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus"	"."	"."	"."	"COG0840^Methyl-accepting chemotaxis"	"KEGG:bsu:BSU31230`KO:K03406"	"GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0006935^biological_process^chemotaxis`GO:0007165^biological_process^signal transduction"	"."	"."	"."	"Sc0000780"	20335	51459
"Mcavernosa07325"	0.0327335275819167	"Mcavernosa07325"	"CSN3_DANRE^CSN3_DANRE^Q:70-194,H:237-406^41.21%ID^E:3e-29^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`CSN3_BOVIN^CSN3_BOVIN^Q:70-194,H:237-406^40.11%ID^E:4e-28^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`CSN3_PONAB^CSN3_PONAB^Q:70-194,H:237-406^40.11%ID^E:4e-28^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo"	"."	"Mcavernosa07325"	"1-591[+]"	"CSN3_DANRE^CSN3_DANRE^Q:70-194,H:237-406^41.21%ID^E:3e-29^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`CSN3_BOVIN^CSN3_BOVIN^Q:70-194,H:237-406^40.11%ID^E:4e-28^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`CSN3_PONAB^CSN3_PONAB^Q:70-194,H:237-406^40.11%ID^E:4e-28^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo"	"."	"."	"."	"ENOG410XRKY^COP9 (constitutive photomorphogenic) homolog, subunit 3 (Arabidopsis"	"KEGG:dre:335720`KO:K12177"	"GO:0008180^cellular_component^COP9 signalosome`GO:0005737^cellular_component^cytoplasm`GO:0000338^biological_process^protein deneddylation`GO:0006511^biological_process^ubiquitin-dependent protein catabolic process"	"."	"."	"."	"Sc0000036"	198009	263294
"Mcavernosa24113"	0.0327335275819167	"Mcavernosa24113"	"GPTC8_HUMAN^GPTC8_HUMAN^Q:1-166,H:1-164^51.81%ID^E:6e-50^RecName: Full=G patch domain-containing protein 8;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`GPTC8_MOUSE^GPTC8_MOUSE^Q:1-166,H:1-164^51.81%ID^E:7e-50^RecName: Full=G patch domain-containing protein 8;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`Z804A_MOUSE^Z804A_MOUSE^Q:122-166,H:41-85^71.11%ID^E:2e-14^RecName: Full=Zinc finger protein 804A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa24113"	"1-4415[+]"	"GPTC8_HUMAN^GPTC8_HUMAN^Q:1-166,H:1-164^51.81%ID^E:6e-50^RecName: Full=G patch domain-containing protein 8;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`GPTC8_MOUSE^GPTC8_MOUSE^Q:1-166,H:1-164^51.81%ID^E:7e-50^RecName: Full=G patch domain-containing protein 8;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`Z804A_MOUSE^Z804A_MOUSE^Q:122-166,H:41-85^71.11%ID^E:2e-14^RecName: Full=Zinc finger protein 804A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF01585.22^G-patch^G-patch domain^43-80^E:7.1e-10`PF12874.6^zf-met^Zinc-finger of C2H2 type^138-159^E:0.083"	"."	"."	"ENOG410ZHVS^G patch domain containing 8"	"KEGG:hsa:23131"	"GO:0046872^molecular_function^metal ion binding`GO:0003723^molecular_function^RNA binding"	"GO:0003676^molecular_function^nucleic acid binding"	"."	"."	"Sc0000952"	41329	51113
"Mcavernosa16500"	0.0331442393400778	"Mcavernosa16500"	"SEC13_MOUSE^SEC13_MOUSE^Q:18-190,H:2-201^54%ID^E:2e-63^RecName: Full=Protein SEC13 homolog {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`SEC13_HUMAN^SEC13_HUMAN^Q:18-190,H:2-201^54%ID^E:2e-63^RecName: Full=Protein SEC13 homolog {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`SEC13_RAT^SEC13_RAT^Q:18-190,H:2-201^54%ID^E:2e-63^RecName: Full=Protein SEC13 homolog {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus"	"."	"Mcavernosa16500"	"1-621[+]"	"SEC13_MOUSE^SEC13_MOUSE^Q:18-190,H:2-201^54%ID^E:2e-63^RecName: Full=Protein SEC13 homolog {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`SEC13_HUMAN^SEC13_HUMAN^Q:18-190,H:2-201^54%ID^E:2e-63^RecName: Full=Protein SEC13 homolog {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`SEC13_RAT^SEC13_RAT^Q:18-190,H:2-201^54%ID^E:2e-63^RecName: Full=Protein SEC13 homolog {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus"	"PF00400.31^WD40^WD domain, G-beta repeat^26-56^E:0.11`PF00400.31^WD40^WD domain, G-beta repeat^65-98^E:0.053"	"."	"."	"ENOG410XPFM^Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules. It also functions as a component of the nuclear pore complex (NPC). NPC components, collectively referred to as nucleoporins (NUPs), can play the role of both NPC structural components and of docking or interaction partners for transiently associated nuclear transport factors. Sec-13 is required for efficient mRNA export from the nucleus to the cytoplasm and for correct nuclear pore biogenesis and distribution (By similarity)"	"KEGG:mmu:110379`KO:K14004"	"GO:0030127^cellular_component^COPII vesicle coat`GO:0005829^cellular_component^cytosol`GO:0005783^cellular_component^endoplasmic reticulum`GO:0005789^cellular_component^endoplasmic reticulum membrane`GO:0061700^cellular_component^GATOR2 complex`GO:0000139^cellular_component^Golgi membrane`GO:0043231^cellular_component^intracellular membrane-bounded organelle`GO:0000776^cellular_component^kinetochore`GO:0005765^cellular_component^lysosomal membrane`GO:0005635^cellular_component^nuclear envelope`GO:0005643^cellular_component^nuclear pore`GO:0031080^cellular_component^nuclear pore outer ring`GO:0005654^cellular_component^nucleoplasm`GO:0032991^cellular_component^protein-containing complex`GO:0042802^molecular_function^identical protein binding`GO:0005198^molecular_function^structural molecule activity`GO:0090110^biological_process^cargo loading into COPII-coated vesicle`GO:0006888^biological_process^ER to Golgi vesicle-mediated transport`GO:0051028^biological_process^mRNA transport`GO:0032008^biological_process^positive regulation of TOR signaling`GO:1904263^biological_process^positive regulation of TORC1 signaling`GO:0015031^biological_process^protein transport"	"GO:0005515^molecular_function^protein binding"	"."	"."	"Sc0000060"	691236	702370
"Mcavernosa25394"	0.0331442393400778	"Mcavernosa25394"	"."	"."	"Mcavernosa25394"	"1-462[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"xfSc0000075"	89088	91353
"Mcavernosa13145"	0.0334185413670275	"Mcavernosa13145"	"TRPA1_MOUSE^TRPA1_MOUSE^Q:136-1074,H:41-1068^25.46%ID^E:2e-86^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`TRPA1_RAT^TRPA1_RAT^Q:136-1074,H:41-1068^25.27%ID^E:1e-84^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`TRPA1_HUMAN^TRPA1_HUMAN^Q:200-1074,H:109-1066^25.77%ID^E:1e-82^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TRPA1_HUMAN^TRPA1_HUMAN^Q:318-617,H:49-381^23.12%ID^E:2e-13^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TRPA1_HUMAN^TRPA1_HUMAN^Q:197-424,H:317-574^25.19%ID^E:1e-08^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"Mcavernosa13145"	"1-4860[+]"	"TRPA1_MOUSE^TRPA1_MOUSE^Q:136-1074,H:41-1068^25.46%ID^E:2e-86^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`TRPA1_RAT^TRPA1_RAT^Q:136-1074,H:41-1068^25.27%ID^E:1e-84^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`TRPA1_HUMAN^TRPA1_HUMAN^Q:200-1074,H:109-1066^25.77%ID^E:1e-82^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TRPA1_HUMAN^TRPA1_HUMAN^Q:318-617,H:49-381^23.12%ID^E:2e-13^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TRPA1_HUMAN^TRPA1_HUMAN^Q:197-424,H:317-574^25.19%ID^E:1e-08^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"PF02816.17^Alpha_kinase^Alpha-kinase family^45-199^E:1.3e-22`PF12796.6^Ank_2^Ankyrin repeats (3 copies)^200-284^E:7.7e-19`PF13857.5^Ank_5^Ankyrin repeats (many copies)^208-259^E:3.9e-07`PF00023.29^Ank^Ankyrin repeat^222-253^E:4.1e-05`PF13606.5^Ank_3^Ankyrin repeat^222-251^E:7.9e-06`PF13637.5^Ank_4^Ankyrin repeats (many copies)^223-269^E:5.2e-10`PF13857.5^Ank_5^Ankyrin repeats (many copies)^248-292^E:3.4e-07`PF00023.29^Ank^Ankyrin repeat^256-286^E:2.9e-05`PF13606.5^Ank_3^Ankyrin repeat^256-283^E:0.00013`PF13637.5^Ank_4^Ankyrin repeats (many copies)^260-308^E:2e-08`PF12796.6^Ank_2^Ankyrin repeats (3 copies)^324-395^E:1.2e-11`PF13637.5^Ank_4^Ankyrin repeats (many copies)^333-385^E:4e-12`PF13606.5^Ank_3^Ankyrin repeat^333-359^E:0.0011`PF13857.5^Ank_5^Ankyrin repeats (many copies)^352-405^E:2e-09`PF00023.29^Ank^Ankyrin repeat^367-395^E:5.5e-05`PF13606.5^Ank_3^Ankyrin repeat^367-392^E:0.0018`PF13637.5^Ank_4^Ankyrin repeats (many copies)^401-451^E:4.9e-07`PF00023.29^Ank^Ankyrin repeat^401-428^E:0.011`PF13637.5^Ank_4^Ankyrin repeats (many copies)^432-484^E:2.6e-08`PF12796.6^Ank_2^Ankyrin repeats (3 copies)^469-555^E:3.1e-09`PF00023.29^Ank^Ankyrin repeat^534-576^E:0.017`PF13637.5^Ank_4^Ankyrin repeats (many copies)^556-598^E:7.2e-05`PF12796.6^Ank_2^Ankyrin repeats (3 copies)^560-619^E:1.5e-07`PF13857.5^Ank_5^Ankyrin repeats (many copies)^564-618^E:4.6e-08`PF00520.30^Ion_trans^Ion transport protein^776-984^E:2.8e-11"	"."	"ExpAA=123.70^PredHel=6^Topology=o724-743i787-809o824-841i854-876o896-918i962-984o"	"COG0666^Ankyrin Repeat"	"KEGG:mmu:277328`KO:K04984"	"GO:0016324^cellular_component^apical plasma membrane`GO:0030424^cellular_component^axon`GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0032421^cellular_component^stereocilium bundle`GO:0005262^molecular_function^calcium channel activity`GO:0015278^molecular_function^calcium-release channel activity`GO:0015267^molecular_function^channel activity`GO:0042802^molecular_function^identical protein binding`GO:0005216^molecular_function^ion channel activity`GO:1990760^molecular_function^osmolarity-sensing cation channel activity`GO:0097604^molecular_function^temperature-gated cation channel activity`GO:0005245^molecular_function^voltage-gated calcium channel activity`GO:0097553^biological_process^calcium ion transmembrane import into cytosol`GO:0070588^biological_process^calcium ion transmembrane transport`GO:0006816^biological_process^calcium ion transport`GO:0007166^biological_process^cell surface receptor signaling pathway`GO:0071244^biological_process^cellular response to carbon dioxide`GO:0070417^biological_process^cellular response to cold`GO:0034605^biological_process^cellular response to heat`GO:0050968^biological_process^detection of chemical stimulus involved in sensory perception of pain`GO:0050966^biological_process^detection of mechanical stimulus involved in sensory perception of pain`GO:1903793^biological_process^positive regulation of anion transport`GO:0035774^biological_process^positive regulation of insulin secretion involved in cellular response to glucose stimulus`GO:1904058^biological_process^positive regulation of sensory perception of pain`GO:0051289^biological_process^protein homotetramerization`GO:1903522^biological_process^regulation of blood circulation`GO:0098908^biological_process^regulation of neuronal action potential`GO:0009409^biological_process^response to cold`GO:0042493^biological_process^response to drug`GO:0042542^biological_process^response to hydrogen peroxide`GO:0014070^biological_process^response to organic cyclic compound`GO:0010033^biological_process^response to organic substance`GO:0048265^biological_process^response to pain`GO:0019233^biological_process^sensory perception of pain`GO:0050955^biological_process^thermoception`GO:0014832^biological_process^urinary bladder smooth muscle contraction"	"GO:0004674^molecular_function^protein serine/threonine kinase activity`GO:0005524^molecular_function^ATP binding`GO:0006468^biological_process^protein phosphorylation`GO:0005515^molecular_function^protein binding`GO:0005216^molecular_function^ion channel activity`GO:0006811^biological_process^ion transport`GO:0055085^biological_process^transmembrane transport`GO:0016020^cellular_component^membrane"	"."	"."	"Sc0000152"	505038	525499
"Mcavernosa20682"	0.0347910714884758	"Mcavernosa20682"	"GAR1_DANRE^GAR1_DANRE^Q:39-141,H:56-160^71.43%ID^E:2e-47^RecName: Full=H/ACA ribonucleoprotein complex subunit 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`GAR1_HUMAN^GAR1_HUMAN^Q:39-141,H:62-166^72.38%ID^E:1e-46^RecName: Full=H/ACA ribonucleoprotein complex subunit 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`GAR1_RAT^GAR1_RAT^Q:39-141,H:64-168^72.38%ID^E:1e-46^RecName: Full=H/ACA ribonucleoprotein complex subunit 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus"	"."	"Mcavernosa20682"	"1-1302[+]"	"GAR1_DANRE^GAR1_DANRE^Q:39-141,H:56-160^71.43%ID^E:2e-47^RecName: Full=H/ACA ribonucleoprotein complex subunit 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`GAR1_HUMAN^GAR1_HUMAN^Q:39-141,H:62-166^72.38%ID^E:1e-46^RecName: Full=H/ACA ribonucleoprotein complex subunit 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`GAR1_RAT^GAR1_RAT^Q:39-141,H:64-168^72.38%ID^E:1e-46^RecName: Full=H/ACA ribonucleoprotein complex subunit 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus"	"PF04410.13^Gar1^Gar1/Naf1 RNA binding region^36-150^E:1.3e-38"	"."	"."	"COG3277^h aca RNA-protein complex component gar1"	"."	"GO:0031429^cellular_component^box H/ACA snoRNP complex`GO:0034513^molecular_function^box H/ACA snoRNA binding`GO:0060216^biological_process^definitive hemopoiesis`GO:0006364^biological_process^rRNA processing`GO:0000454^biological_process^snoRNA guided rRNA pseudouridine synthesis"	"GO:0001522^biological_process^pseudouridine synthesis`GO:0042254^biological_process^ribosome biogenesis"	"."	"."	"Sc0000614"	64884	71246
